"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS07595"	"rpsF"	"rpsF"	"SPy_1831"	"30S ribosomal protein S6"	"rpsF"	"Binds together with S18 to 16S ribosomal RNA"	"GO:0000314 - organellar small ribosomal subunit [Evidence IEA] | GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015935,GO:0019843,GO:0022626,GO:0022627,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070181,GO:0097159,GO:1901363,GO:1990904"	"ko:K02990"	"ko03010,map03010"	"M00178"	"-"	"-"	"3.7899999999999997e-62"
"SPY_RS07600"	"SPy_1832"	"-"	"SPy_1832"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.4200000000000001e-44"
"SPY_RS07605"	"mutY"	"mutY"	"SPy_1833"	"A/G-specific adenine glycosylase"	"mutY"	"A G-specific adenine glycosylase"	"-"	"GO:0004844 - uracil DNA N-glycosylase activity [Evidence IEA]"	"GO:0006260 - DNA replication [Evidence IEA] | GO:0006281 - DNA repair [Evidence IEA] | GO:0006310 - DNA recombination [Evidence IEA]"	"-"	"ko:K03575"	"ko03410,map03410"	"-"	"-"	"-"	"6.84e-284"
"SPY_RS07610"	"immR_1"	"-"	"SPy_1834"	"helix-turn-helix transcriptional regulator"	"immR_1"	"Helix-turn-helix XRE-family like proteins"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.18e-127"
"SPY_RS07615"	"trxA"	"trxA"	"SPy_1835"	"thioredoxin"	"trxA"	"Belongs to the thioredoxin family"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0015036 - disulfide oxidoreductase activity [Evidence IEA]"	"-"	"-"	"ko:K03671"	"ko04621,ko05418,map04621,map05418"	"-"	"-"	"-"	"1.19e-59"
"SPY_RS07620"	"SPy_1836"	"-"	"SPy_1836"	"phosphatase PAP2 family protein"	"-"	"Psort location CytoplasmicMembrane, score"	"-"	"-"	"-"	"-"	"ko:K01096,ko:K19302"	"ko00550,ko00564,ko01100,map00550,map00564,map01100"	"-"	"R02029,R05627"	"RC00002,RC00017"	"5.11e-107"
"SPY_RS07625"	"mutS2"	"-"	"SPy_1837"	"endonuclease MutS2"	"mutS2"	"Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity"	"-"	"-"	"-"	"GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391"	"ko:K07456"	"ko03430,map03430"	"-"	"-"	"-"	"0.0"
"SPY_RS07630"	"cvpA"	"-"	"SPy_1839"	"CvpA family protein"	"cvpA"	"toxin biosynthetic process"	"-"	"-"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0016020,GO:0019748,GO:0044237,GO:0044249,GO:0044464,GO:0044550,GO:0071944"	"ko:K03558"	"-"	"-"	"-"	"-"	"8.28e-118"
"SPY_RS07635"	"SPy_1840"	"-"	"SPy_1840"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.420000000000001e-56"
"SPY_RS07640"	"rnhC"	"rnhC"	"SPy_1841"	"ribonuclease HIII"	"rnhC"	"Endonuclease that specifically degrades the RNA of RNA- DNA hybrids"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0004523 - RNA-DNA hybrid ribonuclease activity [Evidence IEA]"	"GO:0006401 - RNA catabolic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006281,GO:0006298,GO:0006401,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0019439,GO:0022616,GO:0032299,GO:0032991,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043137,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1901576"	"ko:K03471"	"ko03030,map03030"	"-"	"-"	"-"	"1.06e-204"
"SPY_RS07645"	"lepB"	"lepB"	"SPy_1842"	"signal peptidase I"	"spi"	"Belongs to the peptidase S26 family"	"-"	"GO:0004252 - serine-type endopeptidase activity [Evidence IEA]"	"GO:0006465 - signal peptide processing [Evidence IEA] | GO:0009306 - protein secretion [Evidence IEA]"	"-"	"ko:K03100"	"ko02024,ko03060,map02024,map03060"	"-"	"-"	"-"	"9.22e-141"
"SPY_RS07650"	"recD2"	"-"	"SPy_1844"	"ATP-dependent RecD-like DNA helicase"	"recD2"	"DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity"	"-"	"GO:0004386 - helicase activity [Evidence IEA]"	"-"	"-"	"ko:K03581"	"ko03440,map03440"	"-"	"-"	"-"	"0.0"
"SPY_RS07655"	"SPy_1845"	"-"	"SPy_1845"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.63e-84"
"SPY_RS07660"	"dinB"	"dinB"	"SPy_1846"	"DNA polymerase IV"	"dinB"	"Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII"	"-"	"GO:0003684 - damaged DNA binding [Evidence IEA] | GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]"	"GO:0006281 - DNA repair [Evidence IEA]"	"GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0031668,GO:0033554,GO:0050896,GO:0051716,GO:0071496"	"ko:K02346"	"-"	"-"	"-"	"-"	"5.89e-257"
"SPY_RS07665"	"pflB"	"pflB"	"SPy_1849"	"formate C-acetyltransferase"	"pflB"	"formate acetyltransferase'"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0008861 - formate C-acetyltransferase activity [Evidence IEA]"	"GO:0006113 - fermentation [Evidence IEA] | GO:0015942 - formate metabolic process [Evidence IEA]"	"-"	"ko:K00656"	"ko00620,ko00640,ko00650,ko01100,ko01120,map00620,map00640,map00650,map01100,map01120"	"-"	"R00212,R06987"	"RC00004,RC01181,RC02742,RC02833"	"0.0"
"SPY_RS07670"	"SPy_1850"	"-"	"SPy_1850"	"serine hydrolase domain-containing protein"	"-"	"COG1680 Beta-lactamase class C and other penicillin binding proteins"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.69e-231"
"SPY_RS07675"	"cppA"	"-"	"SPy_1851"	"CppA N-terminal domain-containing protein"	"cppA"	"CppA N-terminal"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.29e-180"
"SPY_RS07680"	"SPy_1852"	"-"	"SPy_1852"	"sulfite exporter TauE/SafE family protein"	"XK27_00825"	"response to heat"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.5e-202"
"SPY_RS07685"	"gla"	"-"	"SPy_1854"	"MIP/aquaporin family protein"	"gla"	"Belongs to the MIP aquaporin (TC 1.A.8) family"	"-"	"-"	"-"	"-"	"ko:K02440"	"-"	"-"	"-"	"-"	"3.59e-203"
"SPY_RS07690"	"SPy_1856"	"-"	"SPy_1856"	"MFS transporter"	"-"	"Major Facilitator Superfamily"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"9.020000000000001e-276"
"SPY_RS07695"	"rcfB"	"-"	"SPy_1857"	"Crp/Fnr family transcriptional regulator"	"rcfB"	"Transcriptional regulator"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"9.62e-154"
"SPY_RS07700"	"pepX"	"-"	"SPy_1858"	"Xaa-Pro dipeptidyl-peptidase"	"pepX"	"Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline"	"-"	"GO:0008239 - dipeptidyl-peptidase activity [Evidence IEA]"	"GO:0006508 - proteolysis [Evidence IEA]"	"-"	"ko:K01281"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS07705"	"SPY_RS07705"	"-"	"-"	"helix-turn-helix transcriptional regulator"	"-"	"Cro/C1-type HTH DNA-binding domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4e-40"
"SPY_RS07710"	"SPy_1861"	"-"	"SPy_1861"	"helix-turn-helix transcriptional regulator"	"-"	"sequence-specific DNA binding"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6.98e-78"
"SPY_RS07715"	"yaaK"	"-"	"SPy_1862"	"YbaB/EbfC family nucleoid-associated protein"	"yaaK"	"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection"	"GO:0005737 - cytoplasm [Evidence IEA]"	"GO:0003677 - DNA binding [Evidence IEA]"	"GO:0008150 - biological_process [Evidence IEA]"	"-"	"ko:K09747"	"-"	"-"	"-"	"-"	"3.6e-57"
"SPY_RS07720"	"SPy_1863"	"-"	"SPy_1863"	"MerR family transcriptional regulator"	"-"	"transcriptional regulator, MerR family"	"-"	"GO:0003677 - DNA binding [Evidence IEA]"	"GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"8.659999999999999e-172"
"SPY_RS07725"	"dnaQ"	"-"	"SPy_1864"	"3'-5' exonuclease"	"dnaQ"	"DNA polymerase III"	"-"	"-"	"-"	"-"	"ko:K02342"	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	"M00260"	"R00375,R00376,R00377,R00378"	"RC02795"	"1.41e-134"
"SPY_RS07730"	"WQ51_02910"	"-"	"SPy_1865"	"DUF536 domain-containing protein"	"WQ51_02910"	"Protein of unknown function, DUF536"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.16e-76"
"SPY_RS07735"	"ytfP"	"-"	"SPy_1866"	"NAD(P)/FAD-dependent oxidoreductase"	"ytfP"	"Flavoprotein"	"-"	"-"	"-"	"-"	"ko:K07007"	"-"	"-"	"-"	"-"	"5.44e-277"
"SPY_RS07740"	"deoC"	"deoC"	"SPy_1867"	"deoxyribose-phosphate aldolase"	"deoC"	"Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate"	"-"	"GO:0004139 - deoxyribose-phosphate aldolase activity [Evidence IEA]"	"GO:0009264 - deoxyribonucleotide catabolic process [Evidence IEA]"	"-"	"ko:K01619"	"ko00030,map00030"	"-"	"R01066"	"RC00436,RC00437"	"1.38e-148"
"SPY_RS07745"	"SPy_1868"	"-"	"SPy_1868"	"NupC/NupG family nucleoside CNT transporter"	"-"	"Belongs to the concentrative nucleoside transporter (CNT) (TC 2.A.41) family"	"-"	"-"	"-"	"-"	"ko:K03317"	"-"	"-"	"-"	"-"	"8.64e-259"
"SPY_RS07750"	"udp"	"udp"	"SPy_1869"	"uridine phosphorylase"	"udp"	"Catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose- or deoxyribose-1- phosphate. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis"	"-"	"GO:0004731 - purine-nucleoside phosphorylase activity [Evidence IEA]"	"GO:0006139 - nucleobase-containing compound metabolic process [Evidence IEA]"	"-"	"ko:K00757"	"ko00240,ko00983,ko01100,map00240,map00983,map01100"	"-"	"R01876,R02484,R08229"	"RC00063"	"5.05e-187"
"SPY_RS07755"	"SPy_1870"	"-"	"SPy_1870"	"GntR family transcriptional regulator"	"-"	"COG2188 Transcriptional regulators"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.63e-175"
"SPY_RS07760"	"rpsN"	"rpsN"	"SPy_1871"	"30S ribosomal protein S14"	"rpsN"	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02954"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"1.01e-56"
"SPY_RS07765"	"tsaD"	"tsaD"	"SPy_1872"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD"	"tsaD"	"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction"	"-"	"-"	"GO:0006400 - tRNA modification [Evidence IEA]"	"GO:0000408,GO:0002949,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360"	"ko:K01409"	"-"	"-"	"R10648"	"RC00070,RC00416"	"5.55e-244"
"SPY_RS07770"	"rimI"	"rimI"	"SPy_1873"	"ribosomal protein S18-alanine N-acetyltransferase"	"rimI"	"This enzyme acetylates the N-terminal alanine of ribosomal protein S18"	"-"	"GO:0008999 - peptide-alanine-alpha-N-acetyltransferase activity [Evidence IEA]"	"GO:0036211 - protein modification process [Evidence IEA] | GO:0042254 - ribosome biogenesis [Evidence IEA]"	"-"	"ko:K03789"	"-"	"-"	"-"	"-"	"1.2199999999999998e-95"
"SPY_RS07775"	"tsaB"	"tsaB"	"SPy_1874"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"	"yeaZ"	"COG1214, inactive homolog of metal-dependent proteases"	"-"	"GO:0003725 - double-stranded RNA binding [Evidence IEA]"	"GO:0006400 - tRNA modification [Evidence IEA]"	"GO:0002949,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360"	"ko:K01409,ko:K14742"	"-"	"-"	"R10648"	"RC00070,RC00416"	"3.9500000000000005e-157"
"SPY_RS07780"	"ykzG"	"-"	"SPy_1875"	"DNA-dependent RNA polymerase subunit epsilon"	"ykzG"	"Belongs to the UPF0356 family"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.33e-47"
"SPY_RS07785"	"rnjA"	"rnjA"	"SPy_1876"	"ribonuclease J1"	"rnjA"	"An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay"	"-"	"GO:0004534 - 5'-3' exoribonuclease activity [Evidence IEA]"	"GO:0006364 - rRNA processing [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004527,GO:0004532,GO:0004534,GO:0004540,GO:0005488,GO:0005515,GO:0006139,GO:0006364,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008409,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016072,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042802,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0090503,GO:0140098,GO:1901360"	"ko:K12574"	"ko03018,map03018"	"-"	"-"	"-"	"0.0"
"SPY_RS07790"	"glnA"	"glnA"	"SPy_1877"	"type I glutamate--ammonia ligase"	"glnA"	"glutamine synthetase"	"-"	"GO:0004356 - glutamate-ammonia ligase activity [Evidence IEA]"	"GO:0006542 - glutamine biosynthetic process [Evidence IEA]"	"-"	"ko:K01915"	"ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727"	"-"	"R00253"	"RC00010,RC02798"	"0.0"
"SPY_RS07795"	"glnR"	"-"	"SPy_1878"	"MerR family transcriptional regulator"	"glnR"	"Transcriptional regulator"	"-"	"-"	"-"	"GO:0003674,GO:0005488,GO:0005515,GO:0006082,GO:0006355,GO:0006520,GO:0006541,GO:0006542,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0016053,GO:0019219,GO:0019222,GO:0019752,GO:0031323,GO:0031326,GO:0042802,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1903506,GO:2000112,GO:2001141"	"ko:K03713,ko:K15580"	"ko01501,ko02010,ko02024,map01501,map02010,map02024"	"M00439"	"-"	"-"	"2.3500000000000002e-80"
"SPY_RS07800"	"SPy_1879"	"-"	"SPy_1879"	"aromatic acid exporter family protein"	"-"	"Fusaric acid resistance protein-like"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.67e-124"
"SPY_RS07805"	"pgk"	"-"	"SPy_1881"	"phosphoglycerate kinase"	"pgk"	"Belongs to the phosphoglycerate kinase family"	"-"	"-"	"-"	"GO:0001871,GO:0002020,GO:0003674,GO:0003824,GO:0004618,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009893,GO:0009986,GO:0009987,GO:0010468,GO:0010604,GO:0010628,GO:0010755,GO:0010756,GO:0010954,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0017144,GO:0018130,GO:0019222,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0019899,GO:0030162,GO:0030193,GO:0030195,GO:0030246,GO:0030247,GO:0030312,GO:0031323,GO:0031325,GO:0032101,GO:0032102,GO:0032268,GO:0032270,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0043532,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0045862,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0048518,GO:0048519,GO:0048522,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0050818,GO:0050819,GO:0050878,GO:0051171,GO:0051173,GO:0051186,GO:0051188,GO:0051239,GO:0051241,GO:0051246,GO:0051247,GO:0051917,GO:0051919,GO:0055086,GO:0060255,GO:0061041,GO:0061045,GO:0065007,GO:0065008,GO:0070613,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0080090,GO:0080134,GO:0090407,GO:1900046,GO:1900047,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1903034,GO:1903035,GO:1903317,GO:1903319,GO:2001065"	"ko:K00927"	"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230"	"M00001,M00002,M00003,M00165,M00166,M00308,M00552"	"R01512"	"RC00002,RC00043"	"5.68e-279"
"SPY_RS07810"	"lppC"	"-"	"SPy_1882"	"5'-nucleotidase, lipoprotein e(P4) family"	"lppC"	"5'-nucleotidase, lipoprotein, e(P4) family"	"GO:0009279 - cell outer membrane [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.6400000000000003e-200"
"SPY_RS07815"	"hflK"	"-"	"SPy_1884"	"SPFH domain-containing protein"	"hflK"	"peptidase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.34e-194"
"SPY_RS07820"	"yloV"	"-"	"SPy_1885"	"DAK2 domain-containing protein"	"yloV"	"kinase related to dihydroxyacetone kinase"	"-"	"-"	"-"	"-"	"ko:K07030"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS07825"	"asp"	"-"	"SPy_1886"	"Asp23/Gls24 family envelope stress response protein"	"asp"	"Asp23 family, cell envelope-related function"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.78e-76"
"SPY_RS07830"	"rpmB"	"rpmB"	"SPy_1888"	"50S ribosomal protein L28"	"rpmB"	"Belongs to the bacterial ribosomal protein bL28 family"	"GO:0000311 - plastid large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"-"	"ko:K02902"	"ko03010,map03010"	"M00178"	"-"	"-"	"2.4600000000000002e-36"
"SPY_RS07835"	"fba"	"-"	"SPy_1889"	"fructose-bisphosphate aldolase"	"fba"	"aldolase"	"-"	"-"	"-"	"-"	"ko:K01624,ko:K03339"	"ko00010,ko00030,ko00051,ko00562,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00562,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230"	"M00001,M00003,M00165,M00167,M00344,M00345"	"R01068,R01070,R01829,R02568,R05378"	"RC00438,RC00439,RC00603,RC00604,RC00721"	"6.72e-209"
"SPY_RS07845"	"ybcH"	"-"	"SPy_1892"	"alpha/beta hydrolase"	"ybcH"	"Alpha beta"	"-"	"-"	"-"	"-"	"ko:K06889"	"-"	"-"	"-"	"-"	"3.5100000000000005e-223"
"SPY_RS07850"	"pyrG"	"-"	"SPy_1894"	"CTP synthase"	"pyrG"	"Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates"	"-"	"GO:0003883 - CTP synthase activity [Evidence IEA]"	"GO:0006221 - pyrimidine nucleotide biosynthetic process [Evidence IEA] | GO:0006241 - CTP biosynthetic process [Evidence IEA]"	"-"	"ko:K01937"	"ko00240,ko01100,map00240,map01100"	"M00052"	"R00571,R00573"	"RC00010,RC00074"	"0.0"
"SPY_RS07855"	"rpoE"	"rpoE"	"SPy_1895"	"DNA-directed RNA polymerase subunit delta"	"rpoE"	"Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling"	"-"	"GO:0003899 - DNA-directed 5'-3' RNA polymerase activity [Evidence IEA]"	"GO:0006351 - DNA-templated transcription [Evidence IEA]"	"-"	"ko:K03048"	"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020"	"M00183"	"R00435,R00441,R00442,R00443"	"RC02795"	"1.03e-93"
"SPY_RS07860"	"tig"	"tig"	"SPy_1896"	"trigger factor"	"tig"	"Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase"	"GO:0005854 - nascent polypeptide-associated complex [Evidence IEA]"	"GO:0003755 - peptidyl-prolyl cis-trans isomerase activity [Evidence IEA] | GO:0051082 - unfolded protein binding [Evidence IEA]"	"GO:0051083 - 'de novo' cotranslational protein folding [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K03545"	"-"	"-"	"-"	"-"	"1.4900000000000001e-291"
